Date,NEPSE,Banking,Hydropower,Hotels And Tourism,Finance,Investment,LifeInsurance,Manufacture,NonLifeInsurance,Others,Mutual Fund,Microfinance,DevBank,Trading
2023-05-22,1891.31,1222.83,2371.24,3707.42,1596.74,65.0,9617.23,4518.26,9081.8,1348.73,13.72,3398.44,3509.86,2115.44
2023-05-23,1942.63,1244.11,2436.08,3838.48,1648.28,66.83,9982.57,4701.26,9437.01,1380.71,13.8,3535.55,3592.72,2195.75
2023-05-24,1959.12,1246.25,2428.58,4009.95,1640.83,67.17,10102.77,4921.92,9558.46,1401.79,13.77,3612.67,3593.02,2230.91
2023-05-28,1941.74,1241.04,2419.31,3899.02,1601.49,66.95,9950.43,4971.58,9305.11,1383.91,13.86,3579.87,3520.43,2228.33
2023-05-30,1888.61,1211.03,2353.36,3801.24,1556.8,65.18,9565.17,4894.4,9015.46,1338.57,13.66,3457.51,3440.16,2162.65
2023-05-31,1849.79,1192.36,2291.56,3675.53,1522.8,63.7,9336.35,4721.45,8793.11,1318.37,13.6,3394.5,3369.98,2126.92
2023-06-01,1866.34,1199.31,2323.39,3730.18,1534.31,64.55,9422.0,4776.8,8962.5,1322.34,13.61,3418.9,3388.59,2136.19
2023-06-04,1919.37,1216.66,2414.78,4005.02,1587.04,66.17,9764.05,4934.64,9369.58,1364.72,13.71,3507.82,3505.95,2218.27
2023-06-05,1901.99,1207.5,2403.27,3973.01,1569.66,65.63,9639.91,4813.34,9312.52,1344.08,13.68,3489.18,3455.0,2181.33
2023-06-06,1927.65,1209.3,2479.02,4198.16,1588.21,66.29,9796.84,4861.67,9744.21,1348.03,13.86,3521.64,3482.48,2211.18
2023-06-07,1932.33,1206.69,2490.51,4178.9,1588.9,66.8,9792.88,4888.78,9732.03,1348.34,13.77,3564.7,3522.27,2321.09
2023-06-08,1939.61,1203.55,2471.38,4139.86,1606.6,67.34,9938.66,4850.68,10234.13,1353.95,13.84,3565.77,3554.25,2450.68
2023-06-11,1980.09,1212.44,2527.41,4192.31,1698.49,70.78,10126.55,5021.81,10399.35,1381.04,13.9,3648.56,3719.8,2545.85
2023-06-12,1987.87,1215.45,2519.53,4644.3,1682.26,70.72,10134.21,5124.8,10393.65,1381.69,13.89,3663.49,3701.17,2542.46
2023-06-13,2020.64,1223.13,2568.1,4618.77,1719.18,72.08,10408.53,5346.37,10618.55,1402.52,14.05,3760.1,3759.88,2603.96
2023-06-14,2037.06,1238.87,2580.16,4575.61,1703.3,71.76,10573.19,5380.53,10551.28,1435.42,14.07,3825.12,3723.67,2583.87
2023-06-15,2042.07,1236.48,2571.74,4784.34,1686.95,71.56,10881.6,5388.84,10700.92,1438.39,14.08,3803.36,3711.05,2538.92
2023-06-18,2094.33,1232.93,2673.75,5078.74,1722.72,72.6,11575.73,5530.85,11201.23,1524.69,14.2,3906.88,3761.17,2626.0
2023-06-19,2091.39,1224.61,2653.95,4996.88,1812.62,74.83,11381.94,5478.31,10923.98,1557.81,14.65,3877.75,3892.53,2613.92
2023-06-20,2064.83,1224.17,2588.66,4948.21,1745.55,75.38,11068.6,5487.86,10665.9,1520.47,14.35,3793.82,3833.41,2614.16
2023-06-21,2050.78,1214.04,2546.79,5187.72,1717.51,74.18,11080.56,5502.87,10665.07,1513.17,14.22,3753.44,3781.36,2616.52
2023-06-22,2055.53,1207.11,2506.04,5636.7,1713.09,73.9,11439.78,5479.83,10960.33,1524.41,14.05,3728.5,3758.05,2608.34
2023-06-25,2117.73,1219.85,2552.48,5730.27,1811.18,75.61,12331.34,5716.87,11627.3,1604.03,14.31,3796.74,3932.74,2739.58
2023-06-26,2129.42,1228.25,2541.37,5778.22,1867.48,75.76,12321.63,5745.35,11514.75,1595.95,14.51,3948.35,3957.9,2733.05
2023-06-27,2186.36,1276.49,2581.11,5838.61,1950.48,75.81,12416.3,5735.36,11499.78,1628.23,14.74,4302.05,4011.61,2715.06
2023-06-28,2150.99,1256.83,2530.46,5682.03,1892.12,74.34,12721.22,5647.02,11439.91,1575.93,14.68,4173.3,3914.25,2648.55
2023-07-02,2097.29,1226.95,2450.78,5527.4,1853.95,73.32,12569.91,5517.9,11326.59,1538.53,14.57,3975.05,3778.04,2588.11
2023-07-03,2075.97,1214.4,2417.92,5641.75,1844.19,72.77,12339.73,5455.33,11240.09,1521.02,14.41,3923.52,3745.13,2605.13
2023-07-04,2088.7,1215.46,2421.25,5775.09,1879.53,73.76,12370.23,5495.4,11318.16,1545.69,14.44,3953.73,3776.18,2620.94
2023-07-05,2049.44,1204.47,2364.89,5686.81,1859.49,72.16,11960.47,5389.61,11007.31,1509.0,14.4,3867.73,3712.9,2588.79
2023-07-06,2049.38,1200.86,2386.66,5767.31,1858.0,71.56,11971.41,5421.39,10984.44,1503.45,14.36,3859.85,3720.95,2593.58
2023-07-09,2077.76,1209.0,2386.78,6034.6,1897.1,73.1,12186.53,5518.21,11242.61,1544.79,14.41,3900.39,3780.29,2697.53
2023-07-10,2076.96,1208.79,2355.4,5930.93,1948.43,73.14,12176.81,5571.6,11222.77,1548.18,14.45,3944.23,3777.51,2697.79
2023-07-11,2072.24,1206.0,2327.41,5850.15,2006.59,72.75,12094.51,5589.99,11186.77,1539.87,14.51,3938.69,3906.62,2678.25
2023-07-12,2097.55,1214.77,2430.13,5799.07,1967.4,73.14,12133.48,5649.47,11293.57,1555.91,14.76,4012.44,3937.49,2687.31
2023-07-13,2084.93,1218.55,2384.53,5810.0,1928.11,72.59,11998.13,5612.77,11180.54,1542.98,14.84,4010.46,3874.2,2642.49
